pair,name,base
$AC/USDT,ArtCoin,$AC
$ACM/USDT,All Crypto Mechanics,$ACM
$AI/USDT,Sleepless AI,$AI
$ARS/USDT,Aquarius Loan,$ARS
$BEAI/USDT,BeNFT Solutions,$BEAI
$BUY/USDT,Buying.com,$BUY
$CRC/USDT,CrazyRabbit,$CRC
$CS/USDT,Child Support,$CS
$CWIF/USDT,catwifhat,$CWIF
$DFI/USDT,DeFiChain,$DFI
$DINO/USDT,DINO(ASC20),$DINO
$GIGA/USDT,GigaChadGPT,$GIGA
$GVC/USDT,Global Virtual Coin,$GVC
$HMT/USDT,Humanize,$HMT
$INR/USDT,Inery,$INR
$JTC/USDT,Jurat,$JTC
$KOL/USDT,King of Legends,$KOL
$LFG/USDT,LessFnGas,$LFG
$MUSIC/USDT,Gala Music,$MUSIC
$OPHX/USDT,Operation Phoenix,$OPHX
$OZONE/USDT,Ozone metaverse,$OZONE
$PRIME/USDT,Echelon Prime,$PRIME
$STC/USDT,SaitaChain Coin,$STC
$TRAC/USDT,trac (Ordinals),$TRAC
$TURBO/USDT,Turbo,$TURBO
$VIC/USDT,Viction,$VIC
0XDEV/USDT,DEVAI,0XDEV
1CAT/USDT,Bitcoin Cats,1CAT
1INCH/USDT,1inch Network,1INCH
3ULL/USDT,PLAYA3ULL GAMES,3ULL
A4M/USDT,AlienForm,A4M
AAST/USDT,AASToken,AAST
AAVE/USDT,Aave,AAVE
ACA/USDT,Acala Token,ACA
ACE/USDT,Fusionist,ACE
ACS/USDT,Access Protocol,ACS
ADA/USDC,Cardano,ADA
ADA/USDT,Cardano,ADA
ADS/USDT,Adshares,ADS
AGB/USDT,Apes Go Bananas,AGB
AGI/USDT,Delysium,AGI
AGIX/USDT,SingularityNET,AGIX
AGLD/USDT,Adventure Gold,AGLD
AIAKITA/USDT,AiAkita,AIAKITA
AIDOGE/USDT,ArbDoge AI,AIDOGE
AINN/USDT,AINN,AINN
AITECH/USDT,Solidus Ai Tech,AITECH
AKITA/USDT,Akita Inu,AKITA
AKTIO/USDT,AKTIO,AKTIO
ALEX/USDT,ALEX Lab,ALEX
ALGO/USDT,Algorand,ALGO
ALGO/USDC,Algorand,ALGO
ALICE/USDT,MyNeighborAlice,ALICE
ALITA/USDT,ALITA,ALITA
ALPH/USDT,Alephium,ALPH
ALPINE/USDT,Alpine F1 Team Fan Token,ALPINE
ALT/USDT,Altlayer,ALT
ALU/USDT,Altura,ALU
AMB/USDT,AirDAO,AMB
AMO/USDT,Amino,AMO
AMT/USDT,AmazeToken,AMT
ANALOS/USDT,analoS,ANALOS
ANC/USDT,Anchor Protocol,ANC
ANKR/USDT,Ankr,ANKR
APE/USDT,ApeCoin,APE
APE/USDC,ApeCoin,APE
APFC/USDT,APF coin,APFC
API3/USDT,API3,API3
APT/USDT,Aptos,APT
AR/USDT,Arweave,AR
ARB/USDT,Arbitrum,ARB
ARK/USDT,Ark,ARK
ARKM/USDT,Arkham,ARKM
ARPA/USDT,ARPA,ARPA
ARTY/USDT,Artyfact,ARTY
ARX/USDT,ARCS,ARX
AST/USDT,AirSwap,AST
ASTR/USDT,Astar,ASTR
ATLAS/USDC,Star Atlas,ATLAS
ATLAS/USDT,Star Atlas,ATLAS
ATOM/USDT,Cosmos,ATOM
ATOM/BTC,Cosmos,ATOM
ATPAY/USDT,AtPay,ATPAY
ATR/USDT,Artrade,ATR
ATRNO/USDT,AETERNUS,ATRNO
AUCTION/USDT,Bounce Token,AUCTION
AUDIO/USDT,Audius,AUDIO
AVAV/USDT,AVAV,AVAV
AVAX/USDT,Avalanche,AVAX
AVINOC/USDT,AVINOC,AVINOC
AXS/USDT,Axie Infinity,AXS
AZERO/USDT,Aleph Zero,AZERO
AZY/USDT,Amazy,AZY
BABY/USDT,BabySwap,BABY
BABYBONK/USDT,Baby Bonk,BABYBONK
BABYDOGE/USDT,Baby Doge Coin,BABYDOGE
BABYSHIB/USDT,Baby Shiba Inu,BABYSHIB
BABYTROLL/USDT,Baby Troll,BABYTROLL
BAD/USDT,Bad Idea AI,BAD
BAG/USDT,tehBag,BAG
BAKE/USDT,BakeryToken,BAKE
BAL/USDT,Balancer,BAL
BAND/USDT,Band Protocol,BAND
BAT/USDT,Basic Attention Token,BAT
BBL/USDT,beoble,BBL
BBT/USDT,BitBook,BBT
BCH/BTC,Bitcoin Cash,BCH
BCH/USDT,Bitcoin Cash,BCH
BEAM/USDT,Beam,BEAM
BEPRO/USDT,Bepro,BEPRO
BETH/ETH,Beacon ETH,BETH
BFIC/USDT,Blockchain Foundation for Innovation & Collaboration,BFIC
BICO/USDT,Biconomy,BICO
BIGTIME/USDT,Big Time,BIGTIME
BKN/USDT,Brickken,BKN
BLACK/USDT,BLACKHOLE PROTOCOL,BLACK
BLOK/USDT,Bloktopia,BLOK
BLUR/USDT,Blur,BLUR
BLXM/USDT,bloXmove Token,BLXM
BLZ/USDT,Bluzelle,BLZ
BMX/USDT,BitMart Token,BMX
BNB/USDT,BNB,BNB
BNB/BTC,BNB,BNB
BNSX/USDT,BNSx (Ordinals),BNSX
BNT/USDT,Bancor,BNT
BNX/USDT,BinaryX,BNX
BOB/USDT,BOB,BOB
BOND/USDT,BarnBridge,BOND
BONE/USDT,Bone ShibaSwap,BONE
BONK/USDT,Bonk,BONK
BOZO/USDT,BOZO,BOZO
BREED/USDT,BreederDAO,BREED
BRG/USDT,Bridge Oracle,BRG
BRISE/USDT,Bitgert,BRISE
BRN/USDT,BRN Metaverse,BRN
BROCK/USDT,Bitrock,BROCK
BSOL/USDT,BlazeStake Staked SOL,BSOL
BST/USDT,Blocksquare Token,BST
BSV/USDT,Bitcoin SV,BSV
BTC/WUSD,Bitcoin,BTC
BTC/TUSD,Bitcoin,BTC
BTC/USDT,Bitcoin,BTC
BTC/DAI,Bitcoin,BTC
BTC/USDC,Bitcoin,BTC
BTCS/USDT,BTCs (Ordinals),BTCS
BTT/USDT,BitTorrent (New),BTT
BUMP/USDT,Bumper,BUMP
BUY/USDT,Burency,BUY
BVC/USDT,BattleVerse,BVC
BZR/USDT,Bazaars,BZR
C98/USDT,Coin98,C98
CAGA/USDT,Crypto Asset Governance Alliance,CAGA
CAI/USDT,Colony Avalanche Index,CAI
CAKE/USDT,PancakeSwap,CAKE
CANDY/USDT,Candy Pocket,CANDY
CANTO/USDT,CANTO,CANTO
CAPO/USDT,IL CAPO OF CRYPTO,CAPO
CAST/USDT,Castello Coin,CAST
CCHG/USDT,C+Charge,CCHG
CEL/USDT,Celsius,CEL
CELO/USDT,Celo,CELO
CELR/USDT,Celer Network,CELR
CEM/USDT,Crypto Emergency,CEM
CENX/USDT,Centcex,CENX
CETUS/USDT,Cetus Protocol,CETUS
CGO/USDT,Comtech Gold,CGO
CGPT/USDT,ChainGPT,CGPT
CHEEL/USDT,Cheelee,CHEEL
CHEQ/USDT,cheqd,CHEQ
CHESS/USDT,Tranchess,CHESS
CHEX/BTC,Chintai,CHEX
CHONKY/USDT,CHONKY,CHONKY
CHZ/USDT,Chiliz,CHZ
