pair,name,base
00/USD,00 Token,00
1INCH/USD,1inch Network,1INCH
1INCH/BTC,1inch Network,1INCH
1INCH/GBP,1inch Network,1INCH
1INCH/EUR,1inch Network,1INCH
AAVE/GBP,Aave,AAVE
AAVE/EUR,Aave,AAVE
AAVE/BTC,Aave,AAVE
AAVE/USD,Aave,AAVE
ABT/USD,Arcblock,ABT
ACH/USD,Alchemy Pay,ACH
ACS/USD,Access Protocol,ACS
ADA/GBP,Cardano,ADA
ADA/USDT,Cardano,ADA
ADA/BTC,Cardano,ADA
ADA/USD,Cardano,ADA
ADA/ETH,Cardano,ADA
ADA/EUR,Cardano,ADA
AERGO/USD,Aergo,AERGO
AERO/USD,Aerodrome Finance,AERO
AGLD/USD,Adventure Gold,AGLD
AIOZ/USD,AIOZ Network,AIOZ
ALCX/USD,Alchemix,ALCX
ALEPH/USD,Aleph.im,ALEPH
ALGO/BTC,Algorand,ALGO
ALGO/USD,Algorand,ALGO
ALGO/EUR,Algorand,ALGO
ALGO/GBP,Algorand,ALGO
ALICE/USD,MyNeighborAlice,ALICE
AMP/USD,Amp,AMP
ANKR/EUR,Ankr,ANKR
ANKR/BTC,Ankr,ANKR
ANKR/USD,Ankr,ANKR
ANKR/GBP,Ankr,ANKR
APE/USD,ApeCoin,APE
APE/USDT,ApeCoin,APE
APE/EUR,ApeCoin,APE
API3/USD,API3,API3
APT/USD,Aptos,APT
APT/USDT,Aptos,APT
ARB/USD,Arbitrum,ARB
ARPA/USD,ARPA,ARPA
ASM/USD,Assemble Protocol,ASM
AST/USD,AirSwap,AST
ATOM/USD,Cosmos,ATOM
ATOM/BTC,Cosmos,ATOM
ATOM/USDT,Cosmos,ATOM
ATOM/GBP,Cosmos,ATOM
ATOM/EUR,Cosmos,ATOM
AUCTION/USD,Bounce Token,AUCTION
AUDIO/USD,Audius,AUDIO
AURORA/USD,Aurora,AURORA
AVAX/USD,Avalanche,AVAX
AVAX/USDT,Avalanche,AVAX
AVAX/BTC,Avalanche,AVAX
AVAX/EUR,Avalanche,AVAX
AVT/USD,Aventus,AVT
AXL/USD,Axelar,AXL
AXS/USD,Axie Infinity,AXS
AXS/USDT,Axie Infinity,AXS
AXS/BTC,Axie Infinity,AXS
AXS/EUR,Axie Infinity,AXS
BADGER/USD,Badger DAO,BADGER
BAL/USD,Balancer,BAL
BAL/BTC,Balancer,BAL
BAND/USD,Band Protocol,BAND
BAT/USD,Basic Attention Token,BAT
BAT/BTC,Basic Attention Token,BAT
BAT/ETH,Basic Attention Token,BAT
BAT/EUR,Basic Attention Token,BAT
BCH/GBP,Bitcoin Cash,BCH
BCH/USD,Bitcoin Cash,BCH
BCH/BTC,Bitcoin Cash,BCH
BCH/EUR,Bitcoin Cash,BCH
BICO/USDT,Biconomy,BICO
BICO/EUR,Biconomy,BICO
BICO/USD,Biconomy,BICO
BIGTIME/USD,Big Time,BIGTIME
BIT/USD,BitDAO,BIT
BLUR/USD,Blur,BLUR
BLZ/USD,Bluzelle,BLZ
BNT/USD,Bancor,BNT
BOBA/USD,Boba Network,BOBA
BONK/USD,Bonk,BONK
BTC/USD,Bitcoin,BTC
BTC/USDT,Bitcoin,BTC
BTC/EUR,Bitcoin,BTC
BTC/GBP,Bitcoin,BTC
BTRST/USD,Braintrust,BTRST
C98/USD,Coin98,C98
cbETH/USD,Coinbase Wrapped Staked ETH,CBETH
cbETH/ETH,Coinbase Wrapped Staked ETH,CBETH
CELR/USD,Celer Network,CELR
CGLD/USD,Celo,CGLD
CGLD/GBP,Celo,CGLD
CGLD/EUR,Celo,CGLD
CGLD/BTC,Celo,CGLD
CHZ/USD,Chiliz,CHZ
CHZ/USDT,Chiliz,CHZ
CHZ/EUR,Chiliz,CHZ
CHZ/GBP,Chiliz,CHZ
CLV/USD,CLV,CLV
COMP/USD,Compound,COMP
COMP/BTC,Compound,COMP
COTI/USD,COTI,COTI
COVAL/USD,Circuits of Value,COVAL
CRO/EUR,Cronos,CRO
CRO/USD,Cronos,CRO
CRO/USDT,Cronos,CRO
CRV/EUR,Curve DAO Token,CRV
CRV/USD,Curve DAO Token,CRV
CRV/GBP,Curve DAO Token,CRV
CRV/BTC,Curve DAO Token,CRV
CTSI/USD,Cartesi,CTSI
CTX/USD,Cryptex Finance,CTX
CVC/USD,Civic,CVC
CVX/USD,Convex Finance,CVX
DAI/USD,Dai,DAI
DAR/USD,Mines of Dalarnia,DAR
DASH/USD,Dash,DASH
DASH/BTC,Dash,DASH
DESO/USD,Decentralized Social,DESO
DEXT/USD,DEXTools,DEXT
DIA/USD,DIA,DIA
DIMO/USD,DIMO,DIMO
DNT/USD,district0x,DNT
DOGE/USD,Dogecoin,DOGE
DOGE/BTC,Dogecoin,DOGE
DOGE/EUR,Dogecoin,DOGE
DOGE/GBP,Dogecoin,DOGE
DOGE/USDT,Dogecoin,DOGE
DOT/BTC,Polkadot,DOT
DOT/GBP,Polkadot,DOT
DOT/USD,Polkadot,DOT
DOT/USDT,Polkadot,DOT
DOT/EUR,Polkadot,DOT
DYP/USD,Dypius [Old],DYP
EGLD/USD,MultiversX,EGLD
ELA/USD,Elastos,ELA
ENJ/USDT,Enjin Coin,ENJ
ENJ/BTC,Enjin Coin,ENJ
ENJ/USD,Enjin Coin,ENJ
ENS/USD,Ethereum Name Service,ENS
ENS/EUR,Ethereum Name Service,ENS
ENS/USDT,Ethereum Name Service,ENS
EOS/USD,EOS,EOS
EOS/BTC,EOS,EOS
EOS/EUR,EOS,EOS
ERN/USD,Ethernity,ERN
ETC/USD,Ethereum Classic,ETC
ETC/BTC,Ethereum Classic,ETC
ETC/EUR,Ethereum Classic,ETC
ETC/GBP,Ethereum Classic,ETC
ETH/DAI,Ethereum,ETH
ETH/EUR,Ethereum,ETH
ETH/USDT,Ethereum,ETH
ETH/GBP,Ethereum,ETH
ETH/BTC,Ethereum,ETH
ETH/USD,Ethereum,ETH
EUROC/USD,EURC,EUROC
EUROC/EUR,EURC,EUROC
FARM/USD,Harvest Finance,FARM
FET/USD,Fetch.ai,FET
FET/USDT,Fetch.ai,FET
FIDA/USD,Bonfida,FIDA
FIL/EUR,Filecoin,FIL
FIL/BTC,Filecoin,FIL
FIL/USD,Filecoin,FIL
FIL/GBP,Filecoin,FIL
FIS/USD,StaFi,FIS
FLOW/USDT,Flow,FLOW
FLOW/USD,Flow,FLOW
FLR/USD,Flare,FLR
FORT/USD,Forta,FORT
FORTH/USD,Ampleforth Governance Token,FORTH
FOX/USD,Shapeshift FOX Token,FOX
FX/USD,Function X,FX
GAL/USD,Galxe,GAL
GFI/USD,Goldfinch,GFI
GHST/USD,Aavegotchi,GHST
GLM/USD,Golem,GLM
GMT/USD,GMT,GMT
GMT/USDT,GMT,GMT
GNO/USD,Gnosis,GNO
GODS/USD,Gods Unchained,GODS
GRT/USD,The Graph,GRT
GRT/BTC,The Graph,GRT
GRT/EUR,The Graph,GRT
GRT/GBP,The Graph,GRT
GST/USD,Green Satoshi Token (SOL),GST
GTC/USD,Gitcoin,GTC
GUSD/USD,Gemini Dollar,GUSD
GYEN/USD,GYEN,GYEN
HBAR/USDT,Hedera,HBAR
HBAR/USD,Hedera,HBAR
HFT/USD,Hashflow,HFT
HIGH/USD,Highstreet,HIGH
HNT/USD,Helium,HNT
HONEY/USD,Hivemapper,HONEY
HOPR/USD,HOPR,HOPR
ICP/USDT,Internet Computer,ICP
ICP/EUR,Internet Computer,ICP
ICP/GBP,Internet Computer,ICP
ICP/BTC,Internet Computer,ICP
ICP/USD,Internet Computer,ICP
IDEX/USD,IDEX,IDEX
ILV/USD,Illuvium,ILV
IMX/USDT,Immutable,IMX
IMX/USD,Immutable,IMX
INDEX/USD,Index Cooperative,INDEX
INJ/USD,Injective,INJ
INV/USD,Inverse Finance,INV
IOTX/USD,IoTeX,IOTX
JASMY/USDT,JasmyCoin,JASMY
JASMY/USD,JasmyCoin,JASMY
JTO/USD,Jito,JTO
KAVA/USD,Kava,KAVA
KNC/USD,Kyber Network Crystal v2,KNC
KRL/USD,Kryll,KRL
KSM/USD,Kusama,KSM
LCX/USD,LCX,LCX
LDO/USD,Lido DAO,LDO
LINK/ETH,Chainlink,LINK
LINK/EUR,Chainlink,LINK
LINK/BTC,Chainlink,LINK
LINK/USD,Chainlink,LINK
LINK/USDT,Chainlink,LINK
LINK/GBP,Chainlink,LINK
LIT/USD,Litentry,LIT
LOKA/USD,League of Kingdoms Arena,LOKA
LPT/USD,Livepeer,LPT
LQTY/USD,Liquity,LQTY
LRC/USDT,Loopring,LRC
LRC/USD,Loopring,LRC
LRC/BTC,Loopring,LRC
LSETH/ETH,Liquid Staked ETH,LSETH
LSETH/USD,Liquid Staked ETH,LSETH
LTC/BTC,Litecoin,LTC
